game_pk,date,home,away,home_team_id,away_team_id,home_sp_id,away_sp_id,excluded,n_innings,max_runs,highest_inning,inning_1_runs,inning_2_runs,inning_3_runs,inning_4_runs,inning_5_runs,inning_6_runs,inning_7_runs,inning_8_runs,inning_9_runs,season,home_sp_fip,away_sp_fip,home_team_wrc_plus,away_team_wrc_plus,park_factor_runs
718528,2023-04-18,MIA,SF,146,137,665795.0,622072.0,False,9,3.0,4,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2023,5.064285714285715,3.7944444444444443,3.8,5.0,93
718521,2023-04-18,COL,PIT,115,134,570632.0,592826.0,False,9,4.0,4,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2023,11.164516129032258,5.27741935483871,4.3,4.4,112
718529,2023-04-18,NYY,LAA,147,108,657376.0,660761.0,False,9,4.0,4,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2023,6.237254901960785,5.1987654320987655,4.5,4.8,97
718530,2023-04-18,DET,CLE,116,114,571510.0,683769.0,False,9,3.0,4,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2023,3.9433734939759035,4.083606557377049,4.0,4.2,96
718541,2023-04-18,DET,CLE,116,114,593958.0,685410.0,False,9,1.0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2023,5.452941176470588,1.6714285714285715,4.0,4.2,96
718518,2023-04-19,WSH,BAL,120,110,669022.0,680694.0,False,9,2.0,4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2023,3.5895104895104897,2.2666666666666666,4.5,5.4,99
718507,2023-04-19,SD,ATL,135,144,607259.0,450203.0,False,9,1.0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023,6.588372093023256,4.093788819875776,3.2,5.4,96
718508,2023-04-19,LAD,NYM,119,121,592789.0,453286.0,False,9,3.0,9,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,2023,4.1625,5.8950310559006205,5.0,5.1,94
718510,2023-04-19,CWS,PHI,145,143,605182.0,592836.0,False,9,3.0,1,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2023,3.5968944099378883,4.148951048951049,4.0,5.6,101
718512,2023-04-19,STL,ARI,138,109,663765.0,518516.0,False,9,5.0,3,3.0,2.0,5.0,1.0,3.0,4.0,0.0,1.0,0.0,2023,6.905970149253731,7.56969696969697,4.2,5.6,99
718514,2023-04-19,KC,TEX,118,140,663903.0,527048.0,False,9,4.0,7,1.0,2.0,1.0,2.0,0.0,2.0,4.0,0.0,3.0,2023,5.85,4.942105263157895,3.6,6.4,98
718513,2023-04-19,DET,CLE,116,114,605513.0,615698.0,False,9,3.0,6,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2023,4.482113821138212,4.613157894736842,3.7,3.6,96
718501,2023-04-19,HOU,TOR,117,141,677651.0,621244.0,False,9,7.0,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2023,5.457142857142857,2.1140845070422536,5.2,4.9,99
718503,2023-04-20,SF,NYM,137,121,640455.0,673540.0,False,9,5.0,4,0.0,0.0,0.0,5.0,4.0,1.0,3.0,0.0,0.0,2023,2.88021978021978,4.864705882352942,4.0,5.1,95
718491,2023-04-21,CHC,LAD,112,119,592767.0,628711.0,False,9,7.0,5,2.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,2023,4.558333333333334,3.056896551724138,5.9,4.5,98
718487,2023-04-21,NYY,TOR,147,141,593334.0,579328.0,False,9,2.0,tie,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2023,3.325563909774436,5.749006622516557,4.4,4.5,97
718486,2023-04-21,TB,CWS,139,145,676534.0,656629.0,False,9,4.0,1,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2023,2.6454545454545455,9.21842105263158,5.8,3.1,97
718484,2023-04-21,ARI,SD,109,135,668678.0,607625.0,False,9,7.0,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,2023,2.5871794871794873,2.914814814814815,4.3,3.0,100
718481,2023-04-21,SEA,STL,136,138,669923.0,571927.0,False,9,3.0,tie,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2023,2.791358024691358,4.970967741935484,4.8,5.5,94
718466,2023-04-22,LAA,KC,108,118,542881.0,425844.0,False,9,5.0,tie,0.0,0.0,2.0,3.0,2.0,5.0,0.0,2.0,5.0,2023,8.170422535211268,3.8692307692307693,3.3,3.2,98
718470,2023-04-22,MIL,BOS,158,111,489119.0,676477.0,False,9,4.0,5,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,2023,2.9333333333333336,5.183333333333334,5.0,5.5,100
718468,2023-04-22,MIN,WSH,142,120,641154.0,641771.0,False,9,5.0,7,2.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,2023,2.4675889328063243,7.1845070422535215,4.4,3.1,99
718461,2023-04-23,MIL,BOS,158,111,669203.0,678394.0,False,9,10.0,8,1.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,0.0,2023,4.5414414414414415,7.190909090909091,4.8,5.2,100
718458,2023-04-23,PHI,COL,143,115,554430.0,570632.0,False,9,5.0,4,1.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,0.0,2023,2.6544554455445546,10.72962962962963,4.4,2.9,102
718463,2023-04-23,PIT,CIN,134,113,592826.0,668881.0,False,9,1.0,tie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2023,5.002173913043478,2.2411042944785278,5.8,3.9,95
718455,2023-04-23,SF,NYM,137,121,548389.0,656731.0,False,9,4.0,4,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,2023,11.5,5.5285714285714285,4.2,6.2,95
718448,2023-04-24,CLE,COL,114,115,615698.0,596295.0,False,9,4.0,4,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2023,3.949056603773585,7.515584415584415,3.5,2.8,97
718443,2023-04-24,ATL,MIA,144,146,675911.0,665795.0,False,9,3.0,tie,0.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,2023,2.0545454545454547,4.553488372093024,4.8,3.4,100
718442,2023-04-24,MIN,NYY,142,147,543243.0,666745.0,False,9,3.0,3,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2023,1.9636363636363636,3.9391608391608393,4.4,3.2,99
718447,2023-04-24,BAL,BOS,110,111,665152.0,519242.0,False,9,4.0,3,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2023,6.433333333333334,5.377777777777778,4.6,6.1,101
718445,2023-04-24,CIN,TEX,113,140,666157.0,543135.0,False,9,5.0,3,1.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,2023,4.043396226415094,2.0150943396226415,3.3,7.3,105
718426,2023-04-25,CHC,SD,112,135,657006.0,605483.0,False,9,4.0,8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2023,3.3000000000000003,5.932369942196532,6.0,3.3,98
718435,2023-04-25,BAL,BOS,110,111,680694.0,446372.0,False,9,5.0,9,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,2023,1.7111111111111112,7.377456647398844,4.7,6.0,101
718427,2023-04-25,MIN,NYY,142,147,657746.0,641482.0,False,9,4.0,6,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,2023,3.46,3.22987012987013,3.9,3.1,99
718422,2023-04-25,ARI,KC,109,118,669194.0,663903.0,False,9,3.0,8,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,2023,5.281818181818181,5.242857142857143,5.3,3.3,100
718430,2023-04-25,PHI,SEA,143,136,663559.0,594835.0,False,9,3.0,tie,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,2023,4.367605633802817,3.1617283950617283,5.1,4.4,102
718432,2023-04-25,PIT,LAD,134,119,670912.0,592789.0,False,9,4.0,4,3.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,2023,3.655555555555556,4.554545454545455,5.5,4.2,95
718431,2023-04-25,NYM,WSH,121,120,676130.0,680686.0,False,9,3.0,6,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2023,4.7,5.6,6.1,3.0,94
718423,2023-04-26,SF,STL,137,138,543101.0,571927.0,False,9,2.0,tie,1.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2023,2.6708154506437767,4.750485436893204,4.1,4.9,95
718417,2023-04-26,MIN,NYY,142,147,628317.0,593334.0,False,9,8.0,4,0.0,6.0,0.0,8.0,0.0,2.0,1.0,1.0,0.0,2023,4.484615384615385,4.291709844559586,4.1,3.0,99
718416,2023-04-26,BAL,BOS,110,111,669330.0,656557.0,False,9,3.0,4,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2023,4.039226519337016,4.004761904761905,4.5,5.9,101
718424,2023-04-26,CIN,TEX,113,140,668933.0,592351.0,False,9,3.0,tie,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2023,3.2666666666666666,6.252173913043478,3.1,7.8,105
718397,2023-04-27,TEX,NYY,140,147,571760.0,543037.0,False,9,3.0,2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2023,4.143956043956044,1.9288288288288291,7.9,3.6,103
718404,2023-04-27,PHI,SEA,143,136,621381.0,669923.0,False,9,1.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,2.7932515337423314,2.5594594594594593,5.2,4.4,102
718405,2023-04-27,DET,BAL,116,110,666214.0,502043.0,False,9,5.0,7,0.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,2023,5.358064516129033,4.260409556313993,2.7,4.5,96
718410,2023-04-27,ATL,MIA,144,146,657140.0,666129.0,False,9,5.0,9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2023,5.675757575757576,1.8671232876712331,4.8,3.1,100
718409,2023-04-27,SF,STL,137,138,657277.0,571945.0,False,9,3.0,8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2023,3.7953642384105963,5.395081967213115,4.2,4.9,95
718392,2023-04-28,TOR,SEA,141,136,666201.0,622491.0,False,9,2.0,tie,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2023,5.619685039370079,1.3876712328767125,4.1,3.5,101
718391,2023-04-28,MIA,CHC,146,112,666200.0,573186.0,False,9,2.0,tie,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2023,3.2893939393939395,3.617241379310345,3.6,6.2,93
718393,2023-04-28,CWS,TB,145,139,608337.0,621107.0,False,9,2.0,1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2023,4.0285714285714285,2.1,2.7,5.7,101
718382,2023-04-28,LAD,STL,119,138,669160.0,656427.0,False,9,4.0,1,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2023,3.487323943661972,4.945018450184502,4.7,5.0,94
718384,2023-04-29,SD,SF,135,137,605397.0,640455.0,False,9,8.0,4,2.0,1.0,4.0,8.0,3.0,0.0,5.0,4.0,0.0,2023,3.3000000000000003,5.782926829268293,2.8,3.9,96
718373,2023-04-29,CWS,TB,145,139,458681.0,676534.0,False,9,10.0,7,0.0,2.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,2023,5.816535433070866,2.6161290322580646,2.5,5.9,101
718374,2023-04-29,TEX,NYY,140,147,543135.0,666745.0,False,9,2.0,5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2023,1.960294117647059,4.251515151515152,7.3,3.8,103
718377,2023-04-29,ATH,CIN,133,113,666205.0,668881.0,False,9,2.0,tie,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2023,5.125862068965517,2.203139013452915,4.3,3.6,97
718399,2023-04-29,WSH,PIT,120,134,641771.0,592826.0,False,9,4.0,tie,1.0,1.0,2.0,4.0,0.0,4.0,1.0,0.0,4.0,2023,7.295402298850576,3.926771653543307,4.2,6.6,99
718401,2023-04-29,DET,BAL,116,110,571510.0,680570.0,False,9,6.0,6,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2023,4.793989071038252,3.4141361256544505,2.4,4.6,96
718358,2023-04-30,COL,ARI,115,109,596295.0,669194.0,False,9,4.0,tie,0.0,2.0,4.0,1.0,0.0,4.0,2.0,2.0,1.0,2023,6.580392156862745,4.655555555555556,3.4,5.8,112
718367,2023-04-30,WSH,PIT,120,134,680686.0,670912.0,False,9,3.0,tie,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2023,4.497058823529412,3.4859649122807017,3.5,6.9,99
718368,2023-04-30,SD,SF,135,137,506433.0,502171.0,False,9,3.0,tie,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,2023,2.8854077253218886,2.589051094890511,4.4,4.8,96
718362,2023-04-30,MIN,KC,142,118,543243.0,663903.0,False,9,7.0,3,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,2023,1.8931034482758622,4.396296296296296,4.9,3.6,99
718364,2023-04-30,MIA,CHC,146,112,663773.0,657006.0,False,9,3.0,3,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2023,3.725,3.1332225913621263,3.8,5.6,93
718361,2023-05-01,NYM,ATL,121,144,656731.0,450203.0,False,9,5.0,6,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2023,5.74,4.096563573883161,3.9,4.9,94
718350,2023-05-01,HOU,SF,117,137,677651.0,548389.0,False,9,5.0,7,1.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,2023,3.4703703703703703,8.408641975308642,4.0,4.7,99
718343,2023-05-01,LAD,PHI,119,143,664062.0,592836.0,False,9,4.0,4,1.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,2023,5.358064516129032,5.067213114754098,4.7,3.9,94
718349,2023-05-01,WSH,CHC,120,112,669022.0,592767.0,False,9,2.0,tie,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2023,3.2520912547528518,2.949624060150376,4.2,4.7,99
718331,2023-05-02,LAD,PHI,119,143,628711.0,621381.0,False,9,5.0,8,1.0,2.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,2023,5.2176470588235295,2.539252336448598,5.4,4.3,94
718336,2023-05-02,KC,BAL,118,110,642232.0,669330.0,False,9,5.0,4,3.0,0.0,0.0,5.0,2.0,4.0,3.0,1.0,0.0,2023,3.6,3.915450643776824,3.7,4.8,98
718342,2023-05-02,TEX,ARI,140,109,592351.0,668678.0,False,9,3.0,1,3.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2023,5.6819672131147545,1.4591331269349845,6.6,5.7,103
