game_pk,date,home,away,home_team_id,away_team_id,home_sp_id,away_sp_id,r1_home_runs,r1_away_runs,r1_total_runs,over_0_5,season,home_sp_fip,away_sp_fip,home_team_wrc_plus,away_team_wrc_plus,park_factor_runs,home_sp_r1_runs_avg,home_sp_r1_run_rate,home_sp_r1_starts_n,away_sp_r1_runs_avg,away_sp_r1_run_rate,away_sp_r1_starts_n
776431,2025-09-06,COL,SD,115,135,685326.0,681190.0,0,0,0,0,2025,6.85,4.9750000000000005,4.2,4.4,112,1.0,1.0,1,0.0,0.0,8
776435,2025-09-06,DET,CWS,116,145,669373.0,527048.0,1,0,1,1,2025,3.705095541401274,3.455731225296443,4.4,5.3,96,0.0,0.0,8,0.5,0.25,8
776447,2025-09-06,ATL,SEA,144,136,694462.0,682243.0,0,2,2,1,2025,2.5880546075085324,7.02,5.1,4.2,100,0.0,0.0,3,0.375,0.375,8
776443,2025-09-06,BAL,LAD,110,119,669432.0,808967.0,0,0,0,0,2025,2.070588235294118,3.1340136054421768,4.4,3.5,101,0.625,0.375,8,0.5,0.375,8
776421,2025-09-07,TB,CLE,139,114,656876.0,800048.0,0,0,0,0,2025,4.582758620689655,1.9414634146341463,5.0,4.6,97,0.625,0.375,8,1.0,1.0,1
776417,2025-09-07,COL,SD,115,135,685299.0,656302.0,0,2,2,1,2025,3.5779411764705884,4.361261261261261,4.4,4.8,112,0.375,0.375,8,0.125,0.125,8
776416,2025-09-07,STL,SF,138,137,543243.0,678906.0,0,0,0,0,2025,5.0,4.220000000000001,3.5,8.0,99,1.125,0.375,8,2.0,1.0,2
776411,2025-09-08,LAA,MIN,108,142,702674.0,680573.0,0,0,0,0,2025,2.7,7.793877551020408,3.4,4.4,98,0.0,0.0,1,0.25,0.125,8
776405,2025-09-08,PHI,NYM,143,121,605400.0,690997.0,0,0,0,0,2025,6.418385650224215,2.3720306513409963,5.7,6.6,102,0.75,0.25,8,0.0,0.0,2
776399,2025-09-08,SF,ARI,137,109,657277.0,622503.0,0,0,0,0,2025,3.1643086816720256,3.2226993865030678,7.1,5.0,95,0.5,0.375,8,0.0,0.0,1
776408,2025-09-08,LAD,COL,119,115,607192.0,801403.0,0,0,0,0,2025,3.490070921985816,4.80940170940171,3.0,4.5,94,0.375,0.25,8,0.5,0.375,8
776413,2025-09-08,CLE,KC,114,118,677944.0,686701.0,1,0,1,1,2025,6.062962962962963,3.892452830188679,4.4,4.0,97,0.25,0.25,8,0.0,0.0,5
